ciudad,max_min,tempEnero,tempFebrero,tempMarzo,tempAbril,tempMayo,tempJunio,tempJulio,tempAgosto,tempSept,tempOctubre,tempNov,tempDic
Maicao,min,24,24,24,25,26,26,26,26,25,25,25,24
Majagual,max,34,36,37,35,32,32,32,32,31,30,30,32
Majagual,min,24,25,25,25,25,25,25,25,24,24,24,24
Malambo,max,31,31,32,32,33,32,32,32,32,32,31,31
Malambo,min,24,25,25,25,26,25,25,25,25,25,25,25
Manaure,max,29,29,30,30,30,30,30,31,31,31,30,30
Manaure,min,24,24,25,25,26,26,26,26,26,26,26,25
Manizales,max,23,23,23,22,22,22,22,23,22,22,22,22
Manizales,min,23,23,23,22,22,22,22,23,22,22,22,22
Manzanares,max,19,20,20,19,19,19,19,20,20,19,18,19
Manzanares,min,19,20,20,19,19,19,19,20,20,19,18,19
María la Baja,max,34,34,34,34,33,33,34,33,32,32,32,33
María la Baja,min,23,24,25,25,25,25,25,25,25,24,24,24
Marinilla,max,21,21,22,22,22,22,22,22,22,21,21,21
Marinilla,min,13,13,13,14,14,13,13,13,13,13,13,13
Mariquita,max,32,32,32,31,31,31,32,33,32,31,31,31
Mariquita,min,23,23,23,23,23,23,23,23,23,23,23,23
Marsella,max,26,26,26,25,25,25,26,26,25,25,25,25
Marsella,min,17,18,18,18,18,18,17,17,17,17,17,17
Medellín,max,25,25,25,25,26,26,26,26,25,25,25,25
Medellín,min,17,17,17,18,18,17,17,17,17,17,17,17
Melgar,max,34,34,34,33,33,33,33,34,34,33,33,33
Melgar,min,23,23,24,24,24,24,23,23,23,23,23,23
Miraflores,max,29,29,29,28,27,27,27,28,28,28,28,28
Miraflores,min,22,22,23,23,22,22,21,22,22,22,22,22
Miranda,max,29,29,29,29,29,29,29,30,29,29,28,28
Miranda,min,19,19,19,19,19,19,19,19,19,19,19,19
Mitú,max,28,28,29,28,28,27,27,28,28,28,28,28
Mitú,min,22,23,23,23,22,22,22,22,22,22,23,22
Mocoa,max,28,28,28,27,27,26,26,27,28,28,28,28
Mocoa,min,21,21,21,21,20,19,19,19,20,20,21,21
Moniquirá,max,24,24,24,23,23,23,22,22,22,23,23,23
Moniquirá,min,12,12,13,14,14,14,13,13,13,13,13,12
Montelíbano,max,33,34,35,33,31,31,31,31,30,30,31,31
Montelíbano,min,23,23,24,24,24,24,24,24,24,24,24,23
Montenegro,max,27,27,27,26,26,26,27,27,26,26,25,26
Montenegro,min,18,18,18,18,18,18,18,18,18,18,18,18
Montería,max,34,35,35,34,32,32,32,32,31,31,31,32
Montería,min,24,24,24,25,25,25,25,25,24,24,24,24
Moñitos,max,33,34,34,33,31,31,31,31,30,30,30,31
Moñitos,min,23,23,24,24,24,24,24,24,24,24,24,24
Morales,max,24,24,24,24,24,24,25,25,25,24,23,24
Morales,min,15,15,15,15,15,15,15,15,15,15,15,15
Mosquera,max,19,20,19,19,19,18,18,18,19,19,19,19
Mosquera,min,7,8,9,10,10,9,9,9,8,9,9,8
Nariño,max,18,19,19,19,18,18,18,19,19,19,18,18
Nariño,min,11,11,11,11,10,9,9,9,9,10,10,10
Natagaima,max,35,35,35,34,34,35,36,37,37,35,33,34
Natagaima,min,24,24,24,24,24,24,24,24,24,24,24,24
Necocli,max,30,30,31,30,30,29,29,29,29,29,29,29
Necocli,min,25,25,25,25,26,26,26,26,25,25,25,25
Neira,max,24,24,24,23,23,23,24,24,23,23,23,23
Neira,min,24,24,24,23,23,23,24,24,23,23,23,23
Neiva,max,32,32,32,31,31,32,32,33,33,32,31,31
Neiva,min,23,23,23,23,23,23,23,24,24,23,23,23
Ocaña,max,24,24,24,24,24,25,25,26,25,24,23,23
Ocaña,min,16,16,17,17,17,18,18,18,17,17,17,17
Olaya Herrera,max,23,24,24,24,24,24,24,24,25,24,24,23
Olaya Herrera,min,16,16,16,16,15,14,14,14,14,15,15,15
Orito,max,30,30,30,29,29,28,28,30,31,30,29,30
Orito,min,23,23,23,22,22,21,21,21,22,22,23,23
Ortega,max,34,35,34,33,33,34,35,36,36,34,33,33
Ortega,min,24,24,24,24,24,23,23,24,24,24,23,23
Ovejas (Sucre),max,34,34,34,34,33,32,33,32,32,31,31,32
Ovejas (Sucre),min,21,22,23,24,23,23,23,23,23,22,22,22
Páez,max,27,28,27,27,26,25,24,25,25,26,26,27
Páez,min,15,16,17,18,18,18,17,17,17,17,17,16
Paipa,max,19,20,19,19,19,18,17,17,18,18,19,19
Paipa,min,8,8,9,10,10,9,9,9,8,9,9,8
Palermo,max,31,31,31,30,30,31,31,32,32,31,30,30
Palermo,min,22,22,22,22,22,22,22,22,22,22,22,22
Palmar de Varela,max,32,33,33,34,33,33,33,33,33,32,32,32
Palmar de Varela,min,24,25,25,26,26,25,25,25,25,24,25,25
Palmira,max,29,30,29,29,29,29,30,30,30,29,28,29
Palmira,min,19,19,20,20,20,19,19,19,19,19,19,19
Patía,max,30,30,31,30,31,31,31,32,32,31,30,30
Patía,min,21,21,21,21,21,21,20,20,21,21,21,21
Pereira,max,26,26,26,25,25,25,25,26,25,25,25,25
Pereira,min,17,18,18,18,18,17,17,17,17,17,17,17
Piedecuesta,max,25,26,26,26,26,26,26,26,26,25,25,25
Piedecuesta,min,20,20,20,20,20,20,20,20,20,20,20,20
Pinillos,max,36,37,38,36,33,33,34,33,31,30,31,33
Pinillos,min,25,25,26,26,26,25,25,25,25,24,24,24
Pitalito,max,25,25,25,25,25,25,24,25,26,25,24,25
Pitalito,min,17,17,17,17,17,17,17,17,17,17,17,17
Pivijay,max,35,36,36,36,35,35,35,35,34,33,33,34
Pivijay,min,24,24,25,26,25,25,25,25,24,24,24,24
Planadas,max,27,27,27,26,26,27,27,29,29,27,26,26
Planadas,min,17,17,17,17,17,16,16,17,17,17,17,17
Planeta Rica,max,34,35,36,34,32,32,32,32,31,31,31,32
Planeta Rica,min,23,23,23,24,24,24,24,24,23,23,23,23
Plato,max,36,37,37,36,35,35,35,35,34,33,33,35
Plato,min,23,24,25,25,25,25,25,24,24,23,23,23
Popayán,max,24,24,24,23,24,24,24,25,24,23,23,23
Popayán,min,15,15,15,15,15,14,14,14,15,15,14,15
Potosí,max,18,18,18,18,17,17,17,18,18,18,18,18
Potosí,min,10,10,10,10,10,9,9,9,9,10,10,10
Pradera,max,29,30,29,29,29,29,30,30,30,29,28,29
Pradera,min,19,19,20,19,19,19,19,19,19,19,19,19
Pueblo Nuevo,max,33,35,35,33,31,30,30,30,30,29,30,31
Pueblo Nuevo,min,24,24,25,25,25,24,24,24,24,24,24,24
Puerto Asís,max,30,30,30,29,28,28,28,30,31,30,29,29
Puerto Asís,min,23,23,23,22,22,21,21,21,22,22,23,23
Puerto Berrío,max,30,31,31,30,30,30,31,31,30,30,29,30
Puerto Berrío,min,24,24,24,24,24,24,24,24,24,24,24,24
Puerto Boyacá,max,33,33,33,33,33,33,33,34,33,32,32,32
Puerto Boyacá,min,24,24,25,25,25,25,25,25,24,24,24,24
Puerto Carreño,max,34,35,35,34,31,30,30,31,32,32,32,33
Puerto Carreño,min,24,25,25,25,24,24,23,23,24,24,24,23
Puerto Colombia,max,29,29,30,31,31,31,31,31,31,31,31,30
Puerto Colombia,min,24,24,25,25,26,25,25,25,25,25,25,25
Puerto Escondido,max,31,31,31,31,31,31,31,30,30,30,30,31
Puerto Escondido,min,24,24,25,25,26,25,25,25,25,25,25,25
Puerto López,max,32,33,33,31,29,29,29,29,30,30,30,30
Puerto López,min,22,23,23,23,23,22,22,22,22,23,23,22
Puerto Nariño,max,30,30,30,30,29,29,30,31,31,31,31,30
Puerto Nariño,min,23,23,23,23,23,22,22,22,22,23,23,23
Puerto Rico,max,32,32,31,30,30,30,31,31,32,31,30,31
Puerto Rico,max,32,32,31,30,30,30,31,31,32,31,30,31
Puerto Rico,min,23,23,23,23,23,23,23,23,23,23,23,23
Puerto Rico,min,23,23,23,23,23,23,23,23,23,23,23,23
Puerto Tejada,max,29,29,29,29,29,29,30,30,30,29,28,29
Puerto Tejada,min,20,20,20,20,20,20,19,19,19,19,19,20
Puerto Wilches,max,30,31,32,30,29,29,30,30,29,29,29,29
Puerto Wilches,min,24,24,25,24,24,24,24,24,24,24,24,24
Purificación,max,35,35,35,34,34,35,36,37,36,34,33,34
Purificación,min,24,24,24,24,24,24,24,25,25,24,24,24
Quibdó,max,31,31,31,31,30,31,31,31,30,30,30,30
Quibdó,min,25,25,25,25,25,25,25,25,25,24,24,24
Quimbaya,max,26,27,26,26,26,26,26,27,26,25,25,26
Quimbaya,min,18,18,18,18,18,18,18,18,18,18,18,18
Quinchía,max,23,23,23,23,23,23,23,23,23,22,22,22
Quinchía,min,15,15,15,15,16,15,15,15,15,15,15,15
Repelón,max,33,33,34,34,33,33,33,33,33,32,32,33
Repelón,min,24,24,25,25,25,25,25,25,25,24,24,24
Riohacha,max,29,30,30,31,31,31,31,31,31,30,30,30
Riohacha,min,24,24,25,25,26,26,26,26,26,26,26,25
Rionegro,max,21,21,22,22,22,22,22,22,22,21,21,21
Rionegro,min,13,13,13,14,14,13,13,13,13,13,13,13
Riosucio,max,23,24,24,23,23,23,24,24,23,23,22,23
Riosucio,min,16,16,16,16,16,16,15,15,15,15,16,16
Roldanillo,max,28,28,28,27,27,28,29,29,28,27,26,27
Roldanillo,min,19,19,19,19,19,19,19,19,19,19,19,19
Rovira,max,30,30,30,29,29,29,30,31,31,29,28,29
Rovira,min,19,19,19,19,19,19,19,19,19,19,19,19
Sabana de Torres,max,30,31,31,30,30,31,31,31,31,30,29,30
Sabana de Torres,max,30,31,31,30,30,31,31,31,31,30,29,30
Sabana de Torres,min,24,25,25,25,25,25,25,25,25,24,24,24
Sabana de Torres,min,24,25,25,25,25,25,25,25,25,24,24,24
Sabanagrande,max,32,32,33,33,33,33,33,33,33,32,32,32
Sabanagrande,min,24,25,25,26,26,25,25,25,25,25,25,25
Sabanalarga,max,32,33,33,34,33,33,33,33,32,32,32,32
Sabanalarga,min,23,24,24,25,25,25,24,24,24,24,24,24
Sahagún,max,35,36,37,35,33,32,32,32,31,31,31,33
Sahagún,min,23,23,24,25,25,24,24,24,24,24,24,23
Salamina,max,24,24,24,24,24,24,24,24,24,23,23,23
Salamina,min,24,24,24,24,24,24,24,24,24,23,23,23
Samacá,max,18,18,18,17,17,16,16,16,16,17,17,17
Samacá,min,18,18,18,17,17,16,16,16,16,17,17,17
Sampués,max,34,34,35,34,33,32,32,32,32,31,32,32
Sampués,min,22,22,23,24,24,23,23,23,23,23,23,22
San Agustín,max,23,23,22,22,22,22,22,22,23,22,22,22
San Agustín,min,15,15,15,15,15,15,15,15,15,15,15,15
San Alberto,max,31,32,32,31,31,32,32,32,32,31,30,31
San Alberto,min,24,24,25,25,25,26,25,25,25,25,25,24
San Andrés,max,28,28,29,29,30,30,30,30,30,30,29,29
San Andrés,min,26,26,26,26,27,27,27,27,26,26,26,26
San Antero,max,32,33,33,32,32,32,32,32,32,31,31,32
San Antero,min,23,23,24,25,25,25,25,25,25,24,24,24
San Benito Abad,max,35,37,38,36,33,33,33,32,31,31,31,33
San Benito Abad,min,24,24,25,25,25,25,25,25,24,24,24,24
San Bernardo del Viento,max,31,31,31,31,31,31,31,31,31,31,31,31
San Bernardo del Viento,min,24,24,25,25,25,25,25,25,25,25,25,24
San Carlos,max,31,33,33,32,30,30,30,30,30,29,29,30
San Carlos,max,35,36,36,35,33,33,33,32,32,31,32,33
San Carlos,min,23,24,24,25,25,25,25,25,24,24,24,24
San Carlos,min,24,24,25,25,25,25,25,25,24,24,24,24
San Estanislao,max,33,34,34,34,33,33,34,33,33,32,32,33
San Estanislao,min,24,24,25,25,25,25,25,25,25,24,24,24
San Jacinto,max,33,34,35,34,33,32,33,32,31,31,31,32
San Jacinto,min,21,22,23,24,23,23,23,23,23,22,22,22
San José del Guaviare,max,30,31,31,30,28,28,28,28,29,29,29,29
San José del Guaviare,min,22,22,23,23,23,22,22,22,22,22,23,22
San Juan del Cesar,max,33,34,35,35,34,34,34,34,33,32,32,32
San Juan del Cesar,min,21,22,23,24,25,24,24,24,23,23,22,22
San Juan Nepomuceno,max,34,35,35,34,33,33,33,33,32,31,31,33
San Juan Nepomuceno,min,22,22,23,24,24,23,23,23,23,22,22,22
San Marcos,max,34,36,37,35,32,32,32,31,31,30,31,32
San Marcos,min,24,24,25,25,25,25,24,24,24,24,24,24
San Martín,max,31,31,31,30,29,28,28,28,29,30,30,30
San Martín,max,31,31,31,30,29,28,28,28,29,30,30,30
San Martín,min,19,20,21,22,22,21,21,21,21,21,21,20
San Martín,min,19,20,21,22,22,21,21,21,21,21,21,20
San Onofre,max,33,33,33,33,32,32,32,32,32,31,32,32
San Onofre,min,23,24,24,25,25,25,25,25,25,24,24,24
San Pablo,max,34,34,34,34,33,33,34,33,33,32,32,33
San Pablo,min,23,24,25,25,25,25,25,25,25,25,24,24
San Pelayo,max,34,35,35,34,33,32,32,32,31,31,31,32
San Pelayo,min,24,24,24,25,25,25,25,25,25,24,24,24
San Rafael,max,27,28,28,28,28,28,28,28,28,27,27,27
San Rafael,min,19,19,19,19,19,19,18,18,19,19,19,19
San Vicente de Chucurí,max,26,26,27,26,26,26,26,26,26,26,25,26
San Vicente de Chucurí,min,21,21,21,21,21,21,21,21,21,21,21,21
San Vicente,max,21,21,22,22,22,22,22,22,22,21,21,21
San Vicente,min,13,13,13,14,13,13,12,13,13,13,13,13
Sandoná,max,23,23,23,23,23,23,23,24,24,23,23,23
Sandoná,min,15,15,15,15,14,14,13,13,14,14,15,15
Santa Marta,max,31,31,31,31,31,31,31,31,31,31,31,31
Santa Marta,min,24,24,25,26,27,27,26,26,26,26,25,24
Santa Rosa de Cabal,max,24,24,24,23,23,23,23,24,23,23,23,23
Santa Rosa de Cabal,min,15,15,16,16,16,15,15,15,15,15,15,15
Santa Rosa de Osos,max,18,19,19,19,19,19,19,19,19,18,18,18
Santa Rosa de Osos,min,10,10,11,11,11,10,10,10,10,10,11,10
Santa Rosa del Sur,max,28,30,30,29,27,27,28,28,27,26,26,27
Santa Rosa del Sur,min,21,21,22,22,21,21,21,21,21,21,21,21
Santander de Quilichao,max,28,28,28,28,28,28,29,29,29,28,28,28
Santander de Quilichao,min,19,19,19,19,19,19,19,19,19,19,19,19
Santiago de Tolú,max,33,34,34,34,33,33,33,33,32,32,32,33
Santiago de Tolú,min,23,24,24,25,25,25,25,25,25,24,24,24
Santo Tomás,max,32,32,33,33,33,33,33,33,33,32,32,32
Santo Tomás,min,24,25,25,26,26,25,25,25,25,24,25,25
Sardinata,max,29,29,29,30,30,31,31,32,31,30,29,28
Sardinata,min,21,21,22,22,23,23,23,23,23,22,22,21
Segovia,max,28,28,29,28,27,27,28,28,27,27,27,27
Segovia,min,21,21,21,21,21,21,21,21,21,21,21,21
Sevilla,max,25,25,25,25,24,25,25,26,25,24,24,24
Sevilla,min,16,16,16,16,16,16,16,16,16,16,16,16
Sibaté,max,18,18,18,17,17,17,16,17,17,17,17,17
Sibaté,min,6,7,8,8,8,8,7,7,7,7,7,7
Silvania,max,25,25,25,24,24,24,24,25,25,24,24,25
Silvania,min,14,15,15,16,16,15,15,15,15,15,15,15
Silvia,max,18,18,18,18,18,18,18,18,18,18,17,18
Silvia,min,9,9,9,9,9,9,9,9,9,9,9,9
Simití,max,31,32,33,32,31,31,32,32,31,30,30,30
Simití,min,24,24,25,25,25,25,25,25,25,24,24,24
Sincé,max,34,35,36,35,33,33,33,33,32,32,32,33
Sincé,min,22,23,24,24,24,24,23,23,23,23,23,22
Sincelejo,max,33,34,34,33,32,32,32,32,31,31,31,32
Sincelejo,min,22,22,23,24,24,23,23,23,23,23,22,22
Sitionuevo,max,32,32,33,33,33,33,33,33,33,32,32,32
Sitionuevo,min,24,25,25,26,26,26,25,25,25,25,25,25
Soacha,max,19,19,19,19,19,18,18,18,19,19,19,19
Soacha,min,7,8,9,10,10,9,9,9,8,9,9,8
Socorro,max,24,24,24,24,24,24,24,24,25,24,24,24
Socorro,min,19,19,19,19,19,18,18,18,18,18,18,19
Sogamoso,max,18,19,19,18,18,17,17,17,18,18,17,18
Sogamoso,min,9,10,10,10,10,9,9,9,9,10,10,10
Solano,max,29,30,29,29,28,27,27,28,29,29,28,29
Solano,min,23,23,23,23,22,22,21,22,22,22,23,23
Sonsón,max,18,19,19,18,18,19,19,19,19,18,18,18
Sonsón,min,10,10,10,11,11,10,10,10,10,10,10,10
Sopó,max,19,19,18,18,18,17,17,17,17,18,18,18
Sopó,min,7,7,8,9,9,9,8,8,8,8,9,7
Sucre,max,35,37,37,36,33,33,33,32,31,30,31,33
Sucre,min,24,25,26,26,25,25,25,25,25,24,24,24
Tabio,max,19,19,19,18,18,18,18,18,18,18,18,19
Tabio,min,7,8,8,9,9,9,9,8,8,8,8,7
Tadó,max,31,31,31,30,30,30,31,31,30,30,30,30
Tadó,min,24,24,24,24,25,25,25,25,24,24,24,24
Tame,max,31,31,30,30,29,29,29,29,30,31,31,31
Tame,min,21,22,22,21,21,21,21,21,21,21,21,21
Tauramena,max,32,33,32,30,29,28,28,29,30,30,29,30
Tauramena,min,22,23,23,23,22,22,21,21,22,22,22,22
Tibú,max,31,32,32,33,34,35,36,36,35,33,31,31
Tibú,min,23,23,23,24,25,26,26,26,25,24,24,23
Tierralta,max,32,33,34,33,31,31,31,30,30,30,30,31
Tierralta,min,23,23,24,24,24,24,24,24,24,24,24,23
Timaná,max,26,26,25,25,25,25,25,26,26,25,25,25
Timaná,min,18,18,18,18,18,18,18,18,18,18,18,18
Tocancipá,max,19,19,19,19,18,18,17,17,18,18,18,19
Tocancipá,min,7,8,9,10,10,9,9,9,8,9,9,8
Tuluá,max,28,29,29,28,28,29,29,30,29,28,27,28
Tuluá,min,19,19,19,20,20,19,19,19,19,19,19,19
Tumaco,max,28,28,28,29,28,29,29,29,29,29,28,28
Tumaco,min,24,24,25,25,25,25,24,24,24,24,24,24
Tunja,max,17,17,17,17,17,16,15,15,16,16,17,17
Tunja,min,5,6,7,8,8,8,7,7,6,7,7,6
Túquerres,max,14,14,14,14,14,14,14,15,15,15,14,14
Túquerres,min,6,6,6,6,6,5,5,5,5,6,6,6
Turbaco,max,31,31,31,31,31,31,31,31,31,30,30,31
Turbaco,min,23,24,24,25,25,25,25,25,25,24,24,24
Turbo,max,30,31,32,31,30,29,29,29,29,29,29,30
Turbo,min,24,24,24,25,25,25,25,25,25,24,24,24
Ubaté,max,19,19,19,19,18,18,17,17,18,18,18,19
Ubaté,min,7,8,9,10,10,9,9,8,8,9,9,8
Uribia,max,29,29,30,30,30,30,30,31,31,31,30,30
Uribia,min,24,24,24,25,26,26,26,26,26,25,25,25
Urrao,max,21,21,21,21,21,22,21,21,21,20,20,21
Urrao,min,14,14,14,14,14,14,13,13,13,13,13,14
Valencia,max,32,33,34,32,31,30,30,30,30,30,30,31
Valencia,min,23,23,24,24,24,24,24,24,24,24,24,24
Valle del Guamuez,max,30,30,30,29,29,28,28,30,31,30,29,30
Valle del Guamuez,min,23,23,22,22,22,21,21,21,22,22,22,22
Valledupar,max,35,36,36,36,35,35,35,35,34,34,33,34
Valledupar,min,22,23,24,25,25,25,25,24,24,24,23,22
Vélez,max,18,18,18,18,18,18,18,18,19,18,18,18
Vélez,min,13,13,13,13,12,12,12,12,12,12,13,13
Villa del Rosario,max,30,30,31,31,32,31,31,32,33,32,31,30
Villa del Rosario,min,21,22,22,23,24,24,24,24,24,23,22,22
Villamaría,max,22,22,22,22,22,22,22,22,22,21,21,22
Villamaría,min,14,14,14,14,14,14,13,13,13,14,14,14
Villanueva,max,32,32,33,33,32,32,32,33,32,32,31,31
Villanueva,max,34,35,34,32,31,30,29,30,31,31,31,32
Villanueva,min,22,22,23,24,24,24,24,24,24,24,24,23
Villanueva,min,23,24,24,24,23,22,22,22,23,23,23,22
Villavicencio,max,31,32,31,31,30,29,28,29,30,30,31,31
Villavicencio,min,20,21,22,22,22,22,21,21,21,21,22,20
Villeta,max,30,30,30,29,29,29,30,30,30,29,28,29
Villeta,min,19,20,20,21,21,20,20,20,20,20,20,20
Viotá,max,32,32,32,31,31,31,31,32,32,31,31,31
Viotá,min,21,22,22,22,22,22,22,22,22,22,22,22
Vista Hermosa,max,30,31,31,30,29,28,28,29,30,30,29,30
Vista Hermosa,min,20,21,22,22,22,22,22,22,22,22,22,21
Yarumal,max,20,20,21,20,20,20,20,20,20,20,20,20
Yarumal,min,12,12,12,13,13,12,12,12,12,12,12,12
Yopal,max,32,33,33,31,30,29,29,30,31,30,30,31
Yopal,min,22,23,24,24,23,22,22,22,23,23,23,22
Yumbo,max,28,29,29,28,28,28,29,29,29,28,28,28
Yumbo,min,19,19,19,19,19,19,19,19,19,19,19,19
Zaragoza,max,31,31,32,31,30,30,30,30,30,29,29,30
Zaragoza,min,24,24,24,25,24,24,24,24,24,24,24,24
Zarzal,max,28,29,28,28,28,28,29,29,29,27,27,28
Zarzal,min,19,19,20,20,20,20,19,19,19,19,19,19
Zipaquirá,max,18,18,18,18,18,17,17,17,17,18,18,18
Zipaquirá,min,6,7,8,9,9,9,8,8,8,8,8,7